Webshop;Popularity;Added to parse rules
Intertoys.nl;2.996;1
Bartsmit.com;1.575;1
Blokker.nl;456;1
Xenos.nl;114;
Speelgoedindeton.nl;78;1
FonQ.nl;77;
Leenbakker.nl;71;
Conrad.nl;45;
Degrotespeelgoedwinkel.nl;41;
vtwonen.nl;36;
Greenjump.nl;34;
Bax-shop.nl;31;
Decathlon.nl;29;
Cook&Co;25;
Scapino.nl;21;
IKenIK.nl;20;
Travelbags.nl;18;
Liesjeshoutenspeelgoed.nl;12;
Presentsathome.nl;10;
Megagadgets.nl;9;
Bakker-Hillegom.nl;9;
Vivara.nl;9;
Meesterslijpers.nl;8;
Knuffelparadijs.nl;8;
BoumanOnline.nl;7;
Prijsvergelijk.nl;7;
Meerdanlicht.nl;7;
Internet-sportclubs.com;6;
YourSurprise.nl;6;
OTTO;6;
Geboortexpress.nl;6;
Allekabels.nl;6;
All4running.nl;5;
Drogisterij.net;5;
Jachensen.nl;5;
Kijkshop.nl;5;
Decopleinxxl.nl;5;
Gadgethouse.nl;4;
Cosmox.nl;4;
Baby-schoenen.nl;4;
Dolcis.nl;4;
Nedgame.nl;4;
Bobshop.nl;4;
Athleteshop.nl;4;
Kunstspiegel.nl;3;
Vidaxl.nl;3;
TUI.nl;3;
Modern.nl;3;
CoolGift.com;3;
Vindiqoffice.com;3;
Kidsfavorites.nl;3;
Score.nl;3;
Superwinkel.nl;3;
Stoerekindjes.nl;3;
CameraNU.nl;3;
Gestrikt.nl;3;
Everybodycare.com;3;
Persempretoys.nl;3;
Ali Express;3;
Vanbeeklederwaren.nl;3;
Ajaxshop.nl;2;
Cadeau.nl;2;
Intreza.nl;2;
Centralpoint.nl;2;
Coolsound.nl;2;
Albelli.nl;2;
Scheer en Foppen;2;
TopVintage.nl;2;
Blockstore.nl;2;
Gezelschapsspellenshop.nl;2;
GYZS.nl;2;
Livera.nl;2;
Beddengoed.com;2;
Duketoys.nl;2;
Invito.com;2;
NiceBeauty.com;2;
Maxwell.nl;2;
Verkleedklerenonline.nl;2;
Bellatio.nl;1;
Bagageonline.nl;1;
Posters.nl;1;
Bestel.nl Gifts&Gadgets;1;
Alternate.nl;1;
Voetbalshop.nl;1;
Draagdoek.nl;1;
AKO.nl;1;
Ditverzinjeniet.nl;1;
ffshoppen.nl;1;
Bestekeus.nl;1;
Medion;1;
Replacedirect.nl;1;
Kinderlampenwinkel.nl;1;
Bresser-online.nl;1;
Vandale.nl;1;
Mamzel.eu;1;
Ultragadgets.nl;1;
Tuinadvies.nl;1;
Trendhopper.nl;1;
Magicshop.nl;1;
Schattigebabykleertjes.nl;1;
Bewustspeelgoed.nl;1;
Bjornborg.nl;1;
Vivolanda.nl;1;
Kayasieraden.nl;1;
Thee-voor-thuis.nl;1;
Oxfamnovib.nl - Pakt Uit;1;
Internet-bikes.com;0;
Prachtigkado.nl;0;
